"";"LFWA64TTUSM647S";"PAYEMS";"ratio"
"2011-06-01";199972741,359279;164943750;0,82483116888244
"2011-07-01";200125103,698392;165020000;0,824584207330137
"2011-08-01";200194306,763307;165172500;0,825060925410262
"2011-09-01";200232597,080133;165467500;0,826376436269165
"2011-10-01";200364741,145917;165722500;0,827104105503829
"2011-11-01";200272995,315607;165887500;0,82830688050868
"2011-12-01";200218894,670676;166142500;0,829804301303703
"2012-01-01";201086760,80505;166586250;0,828429725224439
"2012-02-01";201121087,185214;166913750;0,829916705085667
"2012-03-01";201204318,469154;167211250;0,831051993675944
"2012-04-01";201406982,538925;167315000;0,830730880780977
"2012-05-01";201427016,570191;167438750;0,831262622318853
"2012-06-01";201471226,893874;167528750;0,831526926116585
"2012-07-01";201531431,451149;167720000;0,832227503135932
"2012-08-01";201562653,316979;167932500;0,833152854640726
"2012-09-01";201578572,963841;168168750;0,834259056046428
"2012-10-01";201618371,869652;168366250;0,83507394905882
"2012-11-01";201646445,33454;168563750;0,83593712609387
"2012-12-01";201691405,662999;168860000;0,837219610051922
"2013-01-01";201797841,554144;169103750;0,837985920452118
"2013-02-01";201929854,107853;169452500;0,83916516826429
"2013-03-01";201983606,933147;169622500;0,8397834981536
"2013-04-01";202201000,182759;169862500;0,840067555780981
"2013-05-01";202236107,184957;170142500;0,84130624530067
"2013-06-01";202324204,525307;170368750;0,842058172919642
"2013-07-01";202326530,529622;170500000;0,842697196228735
"2013-08-01";202444427,149009;170802500;0,843700675812039
"2013-09-01";202534783,562718;171038750;0,844490743719758
"2013-10-01";202558859,562113;171320000;0,845778853466867
"2013-11-01";202629077,061525;171653750;0,847132862120673
"2013-12-01";202608860,818759;171737500;0,847630746779754
"2014-01-01";202580632,077918;171958750;0,848841018196942
"2014-02-01";202664983,606969;172168750;0,849523913484183
"2014-03-01";202704880,427483;172481250;0,850898358422626
"2014-04-01";202817132,457995;172890000;0,852442778894958
"2014-05-01";202888864,588953;173166250;0,853502977360684
"2014-06-01";203004588,344048;173571250;0,85501146262682
"2014-07-01";203032785,209416;173855000;0,856290277556303
